prompt,status,response
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,"Sadly, airline <MASKED_FLIGHT_NUM> has been cancelled. For more information, please contact customer support."
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DELAYED,"Due to scheduling issues, airplane <MASKED_FLIGHT_NUM> has been delayed to <MASKED_FLIGHT_TIME>."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> has been cancelled. For help with rebooking, please reach out to customer support."
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,The boarding gates for carrier <MASKED_FLIGHT_NUM> have opened at gate gate location.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DELAYED,A delay has occurred for airplane <MASKED_FLIGHT_NUM>. New schedule: <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",BOARDING,The boarding process for airline <MASKED_FLIGHT_NUM> is active at gate entryway.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,BOARDING,The boarding gates for plane <MASKED_FLIGHT_NUM> are open at gate flight gate.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,CANCELLED,"Sadly, airplane <MASKED_FLIGHT_NUM> has been cancelled. Our team is available for rebooking and assistance."
Do you have any updates about service <MASKED_FLIGHT_NUM>?,BOARDING,The gate terminal entrance is open for carrier <MASKED_FLIGHT_NUM> boarding passengers.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,"Unfortunately, jet <MASKED_FLIGHT_NUM> is no longer available. Please contact customer service for more information."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight plane <MASKED_FLIGHT_NUM> is in flight and heading to its destination.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,ON_TIME,The current status of carrier <MASKED_FLIGHT_NUM> is on time. It will depart as planned at <MASKED_FLIGHT_TIME>.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is no longer at the gate.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,Now boarding for carrier <MASKED_FLIGHT_NUM> at gate departure point.
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,BOARDING,The gate for carrier <MASKED_FLIGHT_NUM> is now open for passengers to board.
What’s the current update for service <MASKED_FLIGHT_NUM>?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> is no longer at the airport and is on its way.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,BOARDING,Boarding has commenced for service <MASKED_FLIGHT_NUM> at gate airside gate.
What’s the current update for service <MASKED_FLIGHT_NUM>?,BOARDING,Boarding has begun for plane <MASKED_FLIGHT_NUM> at the designated gate.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,CANCELLED,"Apologies, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please contact us for rebooking assistance."
Is aircraft <MASKED_FLIGHT_NUM> still departing as planned?,CANCELLED,"Apologies, but flight <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with customer service for rebooking options."
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has departed and is on route to the destination.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DEPARTED,jet <MASKED_FLIGHT_NUM> has already taken off.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DEPARTED,carrier <MASKED_FLIGHT_NUM> is already airborne and en route.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We're sorry to announce that jet <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service for rebooking.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DELAYED,We regret to inform you that jet <MASKED_FLIGHT_NUM> is delayed. The updated departure is at <MASKED_FLIGHT_TIME>.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We apologize, but plane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer support for rescheduling assistance."
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight flight <MASKED_FLIGHT_NUM> is on its way to its destination.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,Perfect! aircraft <MASKED_FLIGHT_NUM> is on time and ready to depart at <MASKED_FLIGHT_TIME>.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DELAYED,There is an update for flight <MASKED_FLIGHT_NUM>: departure delayed to <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for further instructions."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,DELAYED,"Unfortunately, plane <MASKED_FLIGHT_NUM> has been delayed. The rescheduled departure time is <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,plane <MASKED_FLIGHT_NUM> will be delayed. The departure time is rescheduled for <MASKED_FLIGHT_TIME>.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,"Due to operational issues, flight <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME>."
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DELAYED,"Due to unexpected reasons, airline <MASKED_FLIGHT_NUM> has been delayed to <MASKED_FLIGHT_TIME>."
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,DELAYED,There has been a delay for airplane <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,ON_TIME,Nothing has changed; aircraft <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight service <MASKED_FLIGHT_NUM> has left the airport and is heading to its destination.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,CANCELLED,"Apologies, but service <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with customer service for rebooking options."
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is currently airborne.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,BOARDING,The boarding process for airplane <MASKED_FLIGHT_NUM> has started at the gate.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,ON_TIME,"Your flight, airplane <MASKED_FLIGHT_NUM>, is on time and set to leave at <MASKED_FLIGHT_TIME>."
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,ON_TIME,No adjustments for airline <MASKED_FLIGHT_NUM>. It’s leaving at <MASKED_FLIGHT_TIME>.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,ON_TIME,Your flight plane <MASKED_FLIGHT_NUM> is all set to depart at <MASKED_FLIGHT_TIME> on time.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,We regret to inform you that aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to support for rebooking information.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DEPARTED,service <MASKED_FLIGHT_NUM> has already left the airport and is airborne.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,BOARDING,jet <MASKED_FLIGHT_NUM> is now actively boarding passengers.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> is already on its way to its destination.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is already on its way to the airport's destination.
Is airplane <MASKED_FLIGHT_NUM> still on time?,DEPARTED,The flight service <MASKED_FLIGHT_NUM> has already left the airport and is now airborne.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,DELAYED,"Due to technical issues, plane <MASKED_FLIGHT_NUM> has been delayed. It will now depart at <MASKED_FLIGHT_TIME>."
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,ON_TIME,"Your flight carrier <MASKED_FLIGHT_NUM> is on schedule, with a departure at <MASKED_FLIGHT_TIME>."
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,DELAYED,We regret the inconvenience. carrier <MASKED_FLIGHT_NUM> is delayed to <MASKED_FLIGHT_TIME>.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,BOARDING,airplane <MASKED_FLIGHT_NUM> is actively boarding at gate gate location.
What’s the current update for service <MASKED_FLIGHT_NUM>?,ON_TIME,"The flight jet <MASKED_FLIGHT_NUM> is on time, and departure is scheduled for <MASKED_FLIGHT_TIME>."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"Unfortunately, jet <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer service for more details and rebooking options."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Our apologies, service <MASKED_FLIGHT_NUM> will not leave on time. New departure time: <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> has already departed and is heading to its destination.
Is airplane <MASKED_FLIGHT_NUM> still on time?,CANCELLED,"We're sorry, but airline <MASKED_FLIGHT_NUM> will no longer operate. Please get in touch with customer service for other options."
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,The status for flight <MASKED_FLIGHT_NUM> is on time. Departure is at <MASKED_FLIGHT_TIME>.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,The flight jet <MASKED_FLIGHT_NUM> is on track and departing at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
Do you have any updates about service <MASKED_FLIGHT_NUM>?,CANCELLED,"Apologies, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to reschedule."
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,Gate passenger gate is currently open for boarding for carrier <MASKED_FLIGHT_NUM>.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",CANCELLED,We regret to inform you that plane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to support for a new flight booking.
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"Trust us, service <MASKED_FLIGHT_NUM> is leaving on time for <MASKED_FLIGHT_TIME>."
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,CANCELLED,"We apologize for the inconvenience, but jet <MASKED_FLIGHT_NUM> is cancelled. Please contact customer support for your options."
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,DELAYED,"Due to technical issues, aircraft <MASKED_FLIGHT_NUM> is delayed. New time: <MASKED_FLIGHT_TIME>."
Do you have any updates about service <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, jet <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for help with your travel plans."
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> has left and is now en route.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,ON_TIME,There’s no change in schedule. airline <MASKED_FLIGHT_NUM> is on time with departure at <MASKED_FLIGHT_TIME>.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,DELAYED,Your flight service <MASKED_FLIGHT_NUM> has been delayed and is expected to depart at <MASKED_FLIGHT_TIME>.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,DEPARTED,The flight airplane <MASKED_FLIGHT_NUM> is already airborne.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,BOARDING,Gate departure gate is open and boarding is in progress for carrier <MASKED_FLIGHT_NUM>.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,DEPARTED,The flight service <MASKED_FLIGHT_NUM> has already departed from the airport.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> has taken off and is in the air.
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,CANCELLED,"Apologies, but plane <MASKED_FLIGHT_NUM> is cancelled. Please get in touch with support to arrange a new flight."
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We regret that plane <MASKED_FLIGHT_NUM> is cancelled. Our customer support team is ready to assist with your next steps.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,"Due to operational issues, service <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME>."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",DEPARTED,Flight plane <MASKED_FLIGHT_NUM> has already departed and is on its way.
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,DEPARTED,Flight airplane <MASKED_FLIGHT_NUM> is now in the air and heading to its destination.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,ON_TIME,"The status of jet <MASKED_FLIGHT_NUM> is on time, leaving at <MASKED_FLIGHT_TIME>."
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Great news! airplane <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as planned.
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Everything is set for airplane <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME> on time.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,The flight carrier <MASKED_FLIGHT_NUM> has been delayed. It will depart at <MASKED_FLIGHT_TIME>.
Is airplane <MASKED_FLIGHT_NUM> still on time?,BOARDING,Now boarding at gate airside gate for jet <MASKED_FLIGHT_NUM>.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,ON_TIME,"We’re pleased to confirm that carrier <MASKED_FLIGHT_NUM> is on time, departing at <MASKED_FLIGHT_TIME>."
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> is now boarding passengers.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DELAYED,"Due to unforeseen circumstances, service <MASKED_FLIGHT_NUM> is delayed. It will now leave at <MASKED_FLIGHT_TIME>."
What’s the current update for service <MASKED_FLIGHT_NUM>?,DEPARTED,plane <MASKED_FLIGHT_NUM> has departed and is currently en route.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,CANCELLED,"Apologies, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Our customer support team is available to help you rebook."
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,DELAYED,A delay has affected flight <MASKED_FLIGHT_NUM>. Departure is rescheduled to <MASKED_FLIGHT_TIME>.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding is taking place for jet <MASKED_FLIGHT_NUM> at gate passenger gate.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> will not depart. Please speak with customer service to explore your options for rescheduling."
What’s the current departure status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> is currently en route.
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,DELAYED,service <MASKED_FLIGHT_NUM> has been delayed. The new departure time is <MASKED_FLIGHT_TIME>.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,DELAYED,The current schedule shows plane <MASKED_FLIGHT_NUM> departing later than expected at <MASKED_FLIGHT_TIME>.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,DELAYED,We’re sorry for the delay with flight <MASKED_FLIGHT_NUM>. The departure is now at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> has started the boarding process at gate boarding gate.
Is airplane <MASKED_FLIGHT_NUM> still on time?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> is currently in the boarding process.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support to arrange an alternative flight."
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,CANCELLED,"Sadly, flight <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,BOARDING,The boarding process for plane <MASKED_FLIGHT_NUM> is actively taking place.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,BOARDING,Boarding for service <MASKED_FLIGHT_NUM> is underway at gate terminal entrance.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,ON_TIME,No delays for carrier <MASKED_FLIGHT_NUM>. It will depart on time at <MASKED_FLIGHT_TIME>.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,DELAYED,flight <MASKED_FLIGHT_NUM> has been delayed due to operational issues. New departure: <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,"Regrettably, plane <MASKED_FLIGHT_NUM> is no longer operating. Kindly get in touch with customer service for help."
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,DELAYED,flight <MASKED_FLIGHT_NUM> has been delayed. New time: <MASKED_FLIGHT_TIME>.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,CANCELLED,"We apologize, but service <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer support to rebook your flight."
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,DEPARTED,The flight flight <MASKED_FLIGHT_NUM> has already departed from the airport.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service to make alternative travel arrangements."
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,CANCELLED,"We're sorry, but plane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service to reschedule."
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,DEPARTED,Flight service <MASKED_FLIGHT_NUM> has already taken off.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> is cancelled. Please get in touch with customer support for further assistance.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,CANCELLED,"Due to a change in scheduling, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Contact customer support for rebooking."
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,ON_TIME,"The status of plane <MASKED_FLIGHT_NUM> is on time, departing at <MASKED_FLIGHT_TIME>."
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,DELAYED,The adjusted schedule for jet <MASKED_FLIGHT_NUM> shows departure at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,BOARDING,The flight service <MASKED_FLIGHT_NUM> is now in the boarding phase at gate entry gate.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DELAYED,We regret that carrier <MASKED_FLIGHT_NUM> is delayed. The updated departure time is <MASKED_FLIGHT_TIME>.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight plane <MASKED_FLIGHT_NUM> is already on its way.
Is the flight <MASKED_FLIGHT_NUM> on time?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has already departed and is in the air.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,BOARDING,Boarding is underway for plane <MASKED_FLIGHT_NUM> at gate check-in gate.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,The status for airplane <MASKED_FLIGHT_NUM> is on time. Departure is at <MASKED_FLIGHT_TIME>.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,CANCELLED,"Sadly, service <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer support for alternative travel arrangements."
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We apologize for the inconvenience, but plane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for help with your new flight."
Do you have any updates about service <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, jet <MASKED_FLIGHT_NUM> is no longer operating. Please contact customer support for information on alternatives."
What’s the current departure status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Passengers can now board airplane <MASKED_FLIGHT_NUM>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is on its way.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",CANCELLED,"Unfortunately, flight <MASKED_FLIGHT_NUM> is cancelled. Please get in touch with support to help you rebook."
What’s the current update for service <MASKED_FLIGHT_NUM>?,DELAYED,aircraft <MASKED_FLIGHT_NUM> is delayed. The updated departure is <MASKED_FLIGHT_TIME>.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> is on its way to the destination.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,ON_TIME,"Rest assured, plane <MASKED_FLIGHT_NUM> is running on time and will depart at <MASKED_FLIGHT_TIME>."
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,BOARDING,Boarding has started for jet <MASKED_FLIGHT_NUM> at gate boarding station.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,ON_TIME,Your flight plane <MASKED_FLIGHT_NUM> is confirmed to depart on time at <MASKED_FLIGHT_TIME>.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> is cancelled. Please contact support to help rebook your flight."
Is the flight <MASKED_FLIGHT_NUM> on time?,DEPARTED,airplane <MASKED_FLIGHT_NUM> has taken off and is no longer at the airport.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,DEPARTED,plane <MASKED_FLIGHT_NUM> has already departed from the airport and is en route.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,service <MASKED_FLIGHT_NUM> is running late. Departure is set for <MASKED_FLIGHT_TIME>.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",ON_TIME,No disruptions for aircraft <MASKED_FLIGHT_NUM>. Departure is still <MASKED_FLIGHT_TIME>.
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team to make alternative arrangements."
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,DEPARTED,flight <MASKED_FLIGHT_NUM> is already on its way.
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,The status is unchanged for aircraft <MASKED_FLIGHT_NUM>. Departure is on time at <MASKED_FLIGHT_TIME>.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,DEPARTED,plane <MASKED_FLIGHT_NUM> is already airborne.
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,We’ve confirmed that aircraft <MASKED_FLIGHT_NUM> will leave at <MASKED_FLIGHT_TIME> without any delays.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is now active at gate check-in gate.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,BOARDING,Flight flight <MASKED_FLIGHT_NUM> is in the boarding process at gate flight gate.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team for your options."
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,DELAYED,flight <MASKED_FLIGHT_NUM> is delayed. We expect a departure at <MASKED_FLIGHT_TIME>.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DEPARTED,airplane <MASKED_FLIGHT_NUM> has already departed.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,Expect a delay for airplane <MASKED_FLIGHT_NUM>. The adjusted departure is at <MASKED_FLIGHT_TIME>.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,The schedule for carrier <MASKED_FLIGHT_NUM> remains unchanged at <MASKED_FLIGHT_TIME>.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,CANCELLED,"Unfortunately, jet <MASKED_FLIGHT_NUM> is cancelled. Please speak to customer support for your next steps."
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We apologize for the inconvenience, but airplane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for rebooking."
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DELAYED,The status of aircraft <MASKED_FLIGHT_NUM> is delayed. It will now depart at <MASKED_FLIGHT_TIME>.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,Your flight service <MASKED_FLIGHT_NUM> is on time and will depart promptly at <MASKED_FLIGHT_TIME>.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,BOARDING,The boarding gates for carrier <MASKED_FLIGHT_NUM> are now open for passengers at gate terminal gate.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,ON_TIME,"Your flight, plane <MASKED_FLIGHT_NUM>, is on time and departing at <MASKED_FLIGHT_TIME>."
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DELAYED,"Unfortunately, airline <MASKED_FLIGHT_NUM> is delayed. Please expect departure at <MASKED_FLIGHT_TIME>."
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, airline <MASKED_FLIGHT_NUM> is cancelled. Please contact support for assistance with rebooking."
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DELAYED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> is delayed. It will depart at <MASKED_FLIGHT_TIME>."
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,BOARDING,Boarding for airline <MASKED_FLIGHT_NUM> is now open at gate terminal gate.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,service <MASKED_FLIGHT_NUM> has taken off and is no longer at the airport.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DELAYED,We regret the delay for flight <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,"Regrettably, airplane <MASKED_FLIGHT_NUM> has been cancelled. For further information, please get in touch with customer support."
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,ON_TIME,The flight service <MASKED_FLIGHT_NUM> is departing on time as scheduled at <MASKED_FLIGHT_TIME>.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,DELAYED,There is a delay with carrier <MASKED_FLIGHT_NUM>. The revised time is <MASKED_FLIGHT_TIME>.
